iter	Passed	Remaining
0	2	203
1	3	155
2	4	132
3	4	115
4	5	108
5	6	102
6	7	103
7	8	100
8	9	97
9	10	95
10	11	93
11	12	90
12	13	87
13	13	85
14	15	88
15	16	87
16	17	86
17	18	84
18	19	83
19	21	85
20	23	86
21	24	85
22	25	84
23	26	82
24	26	80
25	27	78
26	28	77
27	30	78
28	31	77
29	32	76
30	34	75
31	34	74
32	36	73
33	37	71
34	38	70
35	38	69
36	39	67
37	40	66
38	41	65
39	42	63
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	60	43
58	61	42
59	62	41
60	62	40
61	63	39
62	64	37
63	65	36
64	66	35
65	67	34
66	67	33
67	68	32
68	69	31
69	70	30
70	72	29
71	74	29
72	75	28
73	77	27
74	78	26
75	78	24
76	80	23
77	80	22
78	81	21
79	82	20
80	83	19
81	83	18
82	84	17
83	88	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	95	7
93	96	6
94	97	5
95	98	4
96	101	3
97	102	2
98	104	1
99	105	0
